"id","nomor_ulok","lingkup_pekerjaan","nama_toko","kode_toko","proyek","cabang","alamat","nama_kontraktor"
1370,"2PZ1-2508-0007",Sipil,MT HARYONO BARU,,Alfamart Reguler,TEGAL,"Jl. MT Haryono,Saditan Baru, Kaumanbaru, Brebes, Kec. Brebes, Kabupaten Brebes, Jawa Tengah 52212",CV TOTIDIO
1371,"2VZ1-2603-0004",ME,TAMUKU LUWU UTARA,,Alfamart Reguler,LUWU,BONE BONE TAMUKU LUWU UTARA,PT TIGA PUTRA MEDIATAMA
1372,JZ01-2604-EB19-R,ME,VILLA NUSA INDAH,,Renovasi,CILEUNGSI,JL. VILLA NUSA INDAH BLOK U-3 DESA BOJONG KULUR GUNUNG PUTRI KAB.BOGOR,PT MITRA GIRI AGUNG
1373,RZ01-2604-0001-R,ME,BONTONOMPO SELATAN,,Renovasi,MAKASSAR,Jl. Poros Bontokassi Bontoramba Kec.Bontonompo Selatan,CV RESKY PRATAMA
1374,"2MZ1-2604-0409",Sipil,PERINTIS KEMERDEKAAN_SRAGEN,,Alfamart Reguler,MADIUN,JL.PERINTIS KEMERDEKAAN NO.3B RT.21 RW.07 KEL.SRAGEN WETAN KEC.SRAGEN.KAB.SRAGEN,PT KANIGORO KARYA KONSTRUKSI
1375,"2MZ1-2602-0002",ME,PURWOREJO NGAWI,,Alfamart Reguler,MADIUN,JL.DR WAHIDIN NO.21 PURWOREJO KEL.KARANGTENGAH KEC.NGAWI KAB.NGAWI,PT KANIGORO KARYA KONSTRUKSI
1376,"1MZ1-2604-1M4P-R",Sipil,JL MOCH KAHFI,,Renovasi,PARUNG,"JL. MOH KAHFI 1 NO.51 RT.010 RW.002,KEC JAGAKARSA KEL CIGANJUR",PT SAGAR PUTRA KREASI
1377,"2PZ1-2604-I211-R",Sipil,TAMBAK SOGRA,,Renovasi,TEGAL,JL SUNAN AMPEL RT 02 RT 01,CV BERKAH JAYA ABADI
1378,JZ01-2003-0002,Sipil,WANAHERANG,,Alfamart Reguler,CILEUNGSI,JL WANAHERANG,PT HANIF TUNGGAL MANDIRI
1379,JZ01-2003-0002,ME,WANAHERANG,,Alfamart Reguler,CILEUNGSI,JL WANAHERANG,PT HANIF TUNGGAL MANDIRI
1380,"1SZ1-2603-0003",Sipil,tawali,,Alfamart Reguler,SUMBAWA,jalan lintas tawali-sangia kec wera kab bima,PT LETRUS OVERSEAS
1381,"1MZ1-2604-1M4P-R",ME,JL MOCH KAHFI,,Renovasi,PARUNG,"JL. MOH KAHFI 1 NO.51 RT.010 RW.002,KEC JAGAKARSA KEL CIGANJUR",PT SAGAR PUTRA KREASI
1382,TZ01-2604-1M18-R,Sipil,RUKO AGRICOLA 2,,Renovasi,BALARAJA,JL.L AGRICOLA BLOK A NO.05-06 KEL.CURUG SANGERENG/KEC.KELAPA DUA KAB.TANGERANG,CV TANJUNG MEKARSARI
1383,RZ01-2601-0005,Sipil,SUNGAI TANGKA SINJAI,,Alfamart Reguler,MAKASSAR,Jl. Sungai Tangka Kel. Lappa Kec. Sinjai Utara Kab. Sinjai,CV ABADI TEKNIK
1384,LZ01-2604-L744-R,SIPIL,TERM. EXT. BAKAUHENI,-,Reguler,LAMPUNG,"Jln. LINTAS SUMATERA BAKAUHENI, KEL. BAKAUHENI, KEC. BAKAUHENI, KAB. LAMPUNG SELATAN",CV PUTRA PRATAMA
