ULOK,Nama Toko,Cabang,SPK End,ST Date,Has ST,Old Denda Days,Old Denda Amount,New Denda Days,New Denda Amount,Impact Days,Impact Amount,Impact Type,Skipped Days,Skipped Weekends,Skipped Holidays,Explanation
TZ01-2601-0001,"Bumi Indah 5",BALARAJA,2026-04-19,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
TZ01-2601-0001,"Bumi Indah 5",BALARAJA,2026-04-19,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1PZ1-2602-0005,"RAYA DALAM KAUM",PONTIANAK,2026-04-19,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1PZ1-2602-0005,"RAYA DALAM KAUM",PONTIANAK,2026-04-19,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1PZ1-2603-0002,"SEMANGAU",PONTIANAK,2026-04-19,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1PZ1-2603-0002,"SEMANGAU",PONTIANAK,2026-04-19,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
UZ01-2601-0005,"BPN RAYA MULAWARMAN",SIDOARJO BPN_SMD,2026-04-20,2026-05-29,Yes,0,0,38,7500000,38,7500000,INCREASE,0,0,0,"SPK (tidak ada skip)"
UZ01-2601-0005,"BPN RAYA MULAWARMAN",SIDOARJO BPN_SMD,2026-04-20,2026-05-29,Yes,0,0,38,7500000,38,7500000,INCREASE,0,0,0,"SPK (tidak ada skip)"
WZ01-2602-0022,"SIMPANG LUBUK PAKAM",MEDAN,2026-04-20,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
WZ01-2602-0022,"SIMPANG LUBUK PAKAM",MEDAN,2026-04-20,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
UZ01-2602-0015,"SMD BELATUK",SIDOARJO BPN_SMD,2026-04-20,2026-05-18,Yes,0,0,27,7500000,27,7500000,INCREASE,1,1,0,"SPK+1 (1 weekend)"
IZ01-2601-0006,"BAKUREJO",CILACAP,2026-04-24,2026-04-24,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
IZ01-2601-0006,"BAKUREJO",CILACAP,2026-04-24,2026-04-24,Yes,0,0,0,0,0,0,NO_CHANGE,2,2,0,"SPK+2 (2 weekend)"
